Diagram,Image2Slug,TextPlacement,BoxCount,Reason,ChineseOutput,EnglishOutput
level-design-curriculum-overview,level_design_curriculum_overview,in_artwork_callouts,10,底图是流程总览，主体横向信息多；文字放右栏，避免压住流程节点和图标组。 标注已回填到底图预留框或低干扰 callout 区，未再使用图外右栏。,assets/level-design-curriculum-overview.png,assets/en/level-design-curriculum-overview.png
core-gameplay-loop-diagram,core_gameplay_loop_diagram,in_artwork_callouts,6,底图中心房间和循环箭头都需要保持完整；文字全部外置，避免遮挡核心循环。 标注已回填到底图预留框或低干扰 callout 区，未再使用图外右栏。,assets/core-gameplay-loop-diagram.png,assets/en/core-gameplay-loop-diagram.png
obstacle-action-relation,obstacle_action_relation,in_artwork_callouts,6,底图为六宫格样本板，任何浮动标签都会压住案例；右侧紧凑编号说明最稳。 标注已回填到底图预留框或低干扰 callout 区，未再使用图外右栏。,assets/obstacle-action-relation.png,assets/en/obstacle-action-relation.png
pacing-emotion-curve,pacing_emotion_curve,in_artwork_callouts,10,曲线和底部节奏标尺必须连续可读；文字不放在曲线峰谷上。 标注已回填到底图预留框或低干扰 callout 区，未再使用图外右栏。,assets/pacing-emotion-curve.png,assets/en/pacing-emotion-curve.png
precise-metrics-dual-scale-overview,metrics_dual_scale_overview,in_artwork_callouts,15,左右双标尺需要保留对照关系；右侧说明栏承载定义。 标注已回填到底图预留框或低干扰 callout 区，未再使用图外右栏。,assets/precise-metrics-dual-scale-overview.png,assets/en/precise-metrics-dual-scale-overview.png
precise-character-ability-metrics-grid,character_ability_metrics_grid,in_artwork_callouts,5,跳弧、半径和网格是重点，说明不覆盖任何落点或角色框。 标注已回填到底图预留框或低干扰 callout 区，未再使用图外右栏。,assets/precise-character-ability-metrics-grid.png,assets/en/precise-character-ability-metrics-grid.png
precise-level-element-difficulty-metrics-matrix,level_element_difficulty_metrics_matrix,in_artwork_callouts,15,底图含表格和多个房间样本；发布版在矩阵格内补代表性示例，说明外置避免压住房间样本。 标注已回填到底图预留框或低干扰 callout 区，未再使用图外右栏。,assets/precise-level-element-difficulty-metrics-matrix.png,assets/en/precise-level-element-difficulty-metrics-matrix.png
precise-challenge-matrix-four-variations,challenge_matrix_four_variations,in_artwork_callouts,4,四格平台对比要完整保留；文字放右栏对应四个变体。 标注已回填到底图预留框或低干扰 callout 区，未再使用图外右栏。,assets/precise-challenge-matrix-four-variations.png,assets/en/precise-challenge-matrix-four-variations.png
precise-horizontal-jump-metrics-comparison,horizontal_jump_metrics_comparison,in_artwork_callouts,6,左右跳跃对照的安全区/风险区不能被标签遮挡。 标注已回填到底图预留框或低干扰 callout 区，未再使用图外右栏。,assets/precise-horizontal-jump-metrics-comparison.png,assets/en/precise-horizontal-jump-metrics-comparison.png
gameplay-matrix-axes,gameplay_matrix_axes,in_artwork_callouts,6,矩阵本体需要足够大，文字只做外部轴线说明。 标注已回填到底图预留框或低干扰 callout 区，未再使用图外右栏。,assets/gameplay-matrix-axes.png,assets/en/gameplay-matrix-axes.png
platform-world-1-2-progression,platform_world_1_2_progression,in_artwork_callouts,10,横向关卡进程很长，标签不放在平台路径上。 标注已回填到底图预留框或低干扰 callout 区，未再使用图外右栏。,assets/platform-world-1-2-progression.png,assets/en/platform-world-1-2-progression.png
platform-world-1-2-blockout,platform_world_1_2_blockout,in_artwork_callouts,10,灰盒路径、支路和验证段都在图面内，说明外置。 标注已回填到底图预留框或低干扰 callout 区，未再使用图外右栏。,assets/platform-world-1-2-blockout.png,assets/en/platform-world-1-2-blockout.png
portal-fling-tutorial-arc,portal_fling_tutorial_arc,in_artwork_callouts,5,五个解谜房间面板需要连续阅读，文字不插入面板之间。 标注已回填到底图预留框或低干扰 callout 区，未再使用图外右栏。,assets/portal-fling-tutorial-arc.png,assets/en/portal-fling-tutorial-arc.png
