Record_Type,Level_ID,Beat_ID,Diagram_ID,Core_Play_Skill,Player_Action,Enemy_Obstacle,Reward_Resource,Teaching_State,Expected_Emotion,Space_Note,Hypothesis,Metric,Target,Observed,Player_Quote,Revision_Action,Owner,Status
Progression,L01,B01,character_ability_metrics_grid,Body Metrics,Stand+Move,LowCeiling+NarrowPassage,ReadableCollision,Introduce,Clarity,1x1 body grid,Designers can size passages from body metrics,Collision_Confusion_Count,0,,,"",LD,Open
Progression,L01,B02,horizontal_jump_metrics_comparison,One Tile Gap,Run+Jump+Land,OneGridGap,MainPathProgress,Introduce,Confidence,Safe landing before and after gap,New players can pass the first gap,First_Try_SuccessRate,>=85%,,,"",LD,Open
Progression,L01,B03,horizontal_jump_metrics_comparison,Two Tile Gap,Run+Jump+Land,TwoGridGap,CoinTrail,Practice,Focus,Same action with slightly higher distance,Players can repeat the jump with stable rhythm,Retry_Count,<=1,,,"",LD,Open
Progression,L01,B04,horizontal_jump_metrics_comparison,Three Tile Gap,Run+Jump+Land,ThreeGridGap,NextRoomAccess,Validate,Tension,Wide gap after short jump practice,Players understand the gap but must execute cleanly,Deaths_Before_Success,<=3,,,"",LD,Open
Validation,L01,B04,horizontal_jump_metrics_comparison,Three Tile Gap,Run+Jump+Land,ThreeGridGap,NextRoomAccess,Validate,Tension,Wide gap after short jump practice,Players understand the gap but must execute cleanly,Deaths_Before_Success,<=3,6,"我知道要跳，但落点太窄",Widen first landing and move challenge to later beat,LD,Testing
Progression,L02,B01,portal_fling_tutorial_arc,Observe Goal,Look+Compare,VisibleLockedExit,GoalPreview,Introduce,Curiosity,Exit visible but unreachable,Players notice the goal before the rule,Goal_LookRate,>=80%,,,"",LD,Open
Progression,L02,B02,portal_fling_tutorial_arc,Switch Feedback,Press+Observe,TimedDoor,DoorOpens,Introduce,Understanding,Switch and door share one sightline,Players connect switch to door state,Feedback_RecognitionRate,>=75%,,,"",LD,Open
Progression,L02,B03,portal_fling_tutorial_arc,Rule Transfer,Press+Return+Pass,CornerOcclusion,NewRoute,Validate,Satisfaction,Same rule in a new spatial angle,Players reuse the rule without extra instruction,Hint_Request_Count,<=1,,,"",LD,Open
Validation,L02,B03,portal_fling_tutorial_arc,Rule Transfer,Press+Return+Pass,CornerOcclusion,NewRoute,Validate,Satisfaction,Same rule in a new spatial angle,Players reuse the rule without extra instruction,Hint_Request_Count,<=1,4,"我没看到门开了",Move door into switch sightline and add stronger audio cue,LD,Testing
Progression,L03,B01,doom_arena_encounter_layout,Arena Read,Enter+Scan,LowThreatEnemies,AmmoCue,Introduce,Alertness,Entrance frames cover and exit direction,Players identify the arena affordances before fighting,First_Cover_UseRate,>=60%,,,"",LD,Open
Progression,L03,B02,doom_arena_encounter_layout,Move And Shoot,Strafe+Fire,MeleePressure,HealthPickup,Practice,Focus,Central loop supports movement,Players keep moving instead of standing still,Stationary_Time,<=25%,,,"",LD,Open
Progression,L03,B03,doom_arena_encounter_layout,Target Priority,Aim+Reposition,RangedHighThreat,HighGroundPath,Validate,Tension,High threat is readable before damage spike,Players prioritize the intended threat,Priority_Target_Rate,>=65%,,,"",LD,Open
Progression,L04,B01,coop_role_responsibility_matrix,Role Recognition,UseAbility+Observe,LightSeparation,SharedPath,Introduce,Clarity,Both players see each role result,Players understand distinct responsibilities,Role_Error_Count,<=1,,,"",LD,Open
Progression,L04,B02,coop_role_responsibility_matrix,Communication,Ping+Confirm,InformationAsymmetry,SafeRoute,Practice,Trust,One player sees information the other cannot,Players communicate before acting,Ping_UseRate,>=80%,,,"",LD,Open
Progression,L04,B03,coop_role_responsibility_matrix,Synchronized Action,Countdown+Activate,ResetTimer,SharedDoor,Validate,Tension,Low penalty sync room,Players know when the partner is ready,Sync_FailRate,<=25%,,,"",LD,Open
Validation,L04,B03,coop_role_responsibility_matrix,Synchronized Action,Countdown+Activate,ResetTimer,SharedDoor,Validate,Tension,Low penalty sync room,Players know when the partner is ready,Sync_FailRate,<=25%,61%,"我不知道另一个开关准备好了",Add ready-state lights and shared audio countdown,LD,Testing
