Diagram,CheckedPrimitives,MisalignedPrimitives,Status
level-design-curriculum-overview,14,0,PASS
core-gameplay-loop-diagram,10,0,PASS
obstacle-action-relation,31,0,PASS
pacing-emotion-curve,1,0,PASS
precise-metrics-dual-scale-overview,10,0,PASS
precise-character-ability-metrics-grid,10,0,PASS
precise-level-element-difficulty-metrics-matrix,22,0,PASS
precise-challenge-matrix-four-variations,16,0,PASS
precise-horizontal-jump-metrics-comparison,7,0,PASS
gameplay-matrix-axes,1,0,PASS
platform-world-1-2-progression,17,0,PASS
platform-world-1-2-blockout,15,0,PASS
portal-fling-tutorial-arc,9,0,PASS
portal-fling-room-blockout,10,0,PASS
doom-arena-encounter-layout,14,0,PASS
coop-role-responsibility-matrix,1,0,PASS
level-design-iteration-loop,13,0,PASS
blockout-level-layout,18,0,PASS
telemetry-heatmap-matrix-writeback,5,0,PASS
genre-matrix-adaptation,7,0,PASS
level-design-pitfalls-correction-board,19,0,PASS
five-beat-blockout-exercise,21,0,PASS
